image,source
000017.jpg,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2010/12/8/1/WO0208_Georg-Coleman-Roberts-Fried-Banana-01_s4x3.jpg
000018.jpg,https://keeprecipes.com/sites/keeprecipes/files/cheese_fried_bananas_pisang_abu_5.jpg
000019.jpg,http://1.bp.blogspot.com/-GifGxNwBfJs/VBVfnie8QUI/AAAAAAAAB3I/c3QAxT5h3Ag/s1600/Airfried_bananas.jpg
000020.jpg,http://ru.zemmrate.com/uploads/posts/2015-11/1447009470_zharennye-banany-6.jpg
000021.jpg,https://www.savoryexperiments.com/wp-content/uploads/blogger/-oFn1pD8OPVw/US5WEOSNPvI/AAAAAAAAGj8/ozPEfq7UFGo/s1600/Fried%2BBanana%2BCheesecake%2B4.jpg
000022.jpg,https://usercontent2.hubstatic.com/7106655.jpg
000023.jpg,http://3.bp.blogspot.com/-CAlw41752dI/UphJepEYeQI/AAAAAAAADKQ/Xjmd6MULRpc/s1600/fried+banana.jpg
000024.jpg,https://usercontent2.hubstatic.com/7283045_f520.jpg
000025.jpg,http://4.bp.blogspot.com/-XS1ZoxNhFMA/VfpdW8SQH-I/AAAAAAAAEmw/7BcHKdVWiDo/s1600/homeycircle-food-fried-banana-foster-02b-1600x900.jpg
000026.jpg,https://live.staticflickr.com/5520/11769005504_6563391f9a.jpg
000027.jpg,https://thumbs.dreamstime.com/b/thai-fried-bananas-popular-dessert-snack-food-thailand-throughout-southeast-asia-61053177.jpg
000028.jpg,https://2.bp.blogspot.com/-9oDf39sDHUc/UnPR6_7bTbI/AAAAAAAAgIU/V1zW1-BhYeU/s1600/DSC_0016jk.jpg
000029.jpg,https://i.ytimg.com/vi/yxLnkjJv8Sk/maxresdefault.jpg
000030.jpg,https://i.pinimg.com/originals/54/cf/d7/54cfd76d7acc9a5897bda29b0cb2b3d4.jpg
000031.jpg,https://1.bp.blogspot.com/-TGXC7STPAHc/W3Zj816uYaI/AAAAAAAACuM/hGRbyTUj79oJpmDXZdJfgZcqWqvlxt_GACLcBGAs/w1200-h630-p-k-no-nu/Fried%2BBanana%2BPeppers.jpg
000032.jpg,https://www.filipinochow.com/wp-content/uploads/2020/05/Picture-of-Fried-Bananas-Pritong-Saba.jpg
000033.jpg,https://1.bp.blogspot.com/-9HHE1lwH-F8/W-_kwRlIyoI/AAAAAAAAfkQ/f2FBTjSfh1cAOVTT0N7wT3X4E_T7ix02ACKgBGAs/w1200-h630-p-k-no-nu/20181117_122507.jpg
000034.jpg,https://thumbs.dreamstime.com/z/thai-fried-bananas-popular-dessert-snack-food-thailand-throughout-southeast-asia-61050635.jpg
000035.jpg,https://thumbs.dreamstime.com/z/fried-bananas-19643317.jpg
000036.jpg,https://fusionsteakhouse.com/wp-content/uploads/2016/05/fried-banana-Web-768x512.jpg
000037.jpg,https://www.indianhealthyrecipes.com/wp-content/uploads/2014/09/how-to-make-raw-banana-fry-600x400.jpg
000038.jpg,https://www.peckishme.com/wp-content/uploads/2018/07/stuffed-banana-peppers.jpg
000039.jpg,https://thumbs.dreamstime.com/z/fried-bananas-isolated-10257275.jpg
000040.jpg,https://cdn11.bigcommerce.com/s-d9kuzm38/images/stencil/1280x1280/products/1079/1934/Fried-Bananas-Hosta-3__96732.1423000265.jpg
000041.jpg,https://cdn11.bigcommerce.com/s-d9kuzm38/images/stencil/1280x1280/products/1079/1933/Fried-Bananas-Hosta-1__76006.1423000264.jpg
000042.jpg,https://scfimg.com/f4/f44c265e806db27a883a4841da6e2095.jpg
000043.jpg,https://scfimg.com/a1/a1e6200e847f130360eb0901475a72da.jpg
000044.jpg,http://img-aws.ehowcdn.com/200x200/cme/cme_public_images/www_ehow_com/photos.demandstudios.com/getty/article/79/53/139979746_XS.jpg
000045.jpg,https://scfimg.com/59/595e31e229972fc01031e8050b1614e8.jpg
000046.jpg,https://i.pinimg.com/736x/68/39/81/683981d08f2b10dd34e68c321b75445b--fried-bananas-coconut-ice-cream.jpg
000047.jpg,https://irepo.primecp.com/1005/66/172903/tuscanos-fried-banana-clones_Medium_ID-604006.jpg
000048.jpg,https://thumbs.dreamstime.com/z/fried-chicken-typical-banana-leaf-bothok-package-toothpick-brown-table-fried-chicken-typical-banana-leaf-248305109.jpg
000049.jpg,https://thumbs.dreamstime.com/z/fried-chicken-typical-banana-leaf-bothok-package-toothpick-brown-table-fried-chicken-typical-banana-leaf-248305066.jpg
000050.jpg,https://i.pinimg.com/originals/89/fb/23/89fb236d2943e96845dfa24c051bf90f.jpg
000051.jpg,https://www.xmsdfood.com/uploads/201818522/vacuum-fried-banana-chips51213979347.jpg
000052.jpg,https://dorsetperennials.co.uk/wp-content/uploads/2017/10/Hosta-Fried-Bananas-2.jpg
000053.jpg,https://post.greatist.com/wp-content/uploads/sites/2/2019/05/fried20banana20and20maple20porridge.jpg
000055.jpg,https://img.lybadvice.com/img/thai-desserts/987/Thai-Fried-Bananas-Goreng-Pisang.jpg
000056.jpg,https://img.lybadvice.com/img/thai-desserts/254/How-to-Make-Fried-Bananas_6.jpg
000057.jpg,https://img.lybadvice.com/img/thai-desserts/254/How-to-Make-Fried-Bananas_7.jpg
000058.jpg,https://www.menuculture.com/recipeshop/wp-content/uploads/2019/04/banana-chips.jpg
000059.jpg,https://i.pinimg.com/736x/9c/05/61/9c056100904bea19c85a59a3f6cf130c--chalets-stuffed-pork.jpg
000060.jpg,https://static.vecteezy.com/system/resources/previews/007/670/510/non_2x/banana-chips-fried-or-baked-sliced-banana-photo.jpg
000061.jpg,https://img-global.cpcdn.com/recipes/861543640a1073dd/751x532cq70/tonkatsu-japanese-deep-fried-pork-cutlet-recipe-main-photo.jpg
000062.jpg,https://i0.wp.com/www.calgarydesistore.com/wp-content/uploads/2020/05/DD-Banana-Fry.jpg
000063.jpg,https://i.ytimg.com/vi/G2GJog68Kis/maxresdefault.jpg
000064.jpg,https://www.pinoyrecipe.net/wp-content/uploads/2012/01/banana-cue-1200x900.jpg
000065.jpg,https://img.lybadvice.com/img/cooking-basics/171/fried-plantain-with-spicy-peanut-sauce-recipe.jpg
000066.jpg,https://wallx.net/wp-content/uploads/2022/05/1653554870_157_How-to-air-fry-plantains.jpg
000067.jpg,https://i.pinimg.com/736x/9f/7e/a7/9f7ea7028db38cd1432db2fbb749fda8--fried-chicken-and-waffles-maple-syrup.jpg
000068.jpg,https://img-global.cpcdn.com/recipes/5f99d5aef4bc54fc/751x532cq70/the-best-banana-nut-bread-recipe-main-photo.jpg
000070.jpg,https://i.pinimg.com/originals/27/32/fa/2732fa207f86601b76c425715d3e66d2.jpg
000071.jpg,https://img-global.cpcdn.com/recipes/45651989/751x532cq70/maple-banana-bread-recipe-main-photo.jpg
000072.jpg,https://pinoybites.com/wp-content/uploads/2020/11/Banana-Cue-2-scaled.jpg
000073.jpg,https://i.ytimg.com/vi/hBQpLBgyceU/maxresdefault.jpg
000074.jpg,https://i.pinimg.com/originals/03/6d/ef/036defd0aa7af86bf8095e23ac44fafb.jpg
000075.jpg,https://www.gannett-cdn.com/presto/2021/05/04/NCOM/1f574f01-b0a4-4659-a16d-9e90a0bb6af6-cmm_rest_shortorder0421_02.jpg
000076.jpg,https://i.pinimg.com/474x/e7/92/c6/e792c6537d7c086115e449ad88c82222--banana-blossom-paleo-food.jpg
000077.jpg,https://i.pinimg.com/originals/58/73/a6/5873a6659d8e58cff7793d08d19db44f.jpg
000078.jpg,https://i.pinimg.com/736x/59/2c/c0/592cc0361eacf5cd2979cc1607379ad3.jpg
000079.jpg,https://i.pinimg.com/originals/77/05/34/770534d34fe3e1356cb10642540bdb0c.jpg
000080.jpg,https://imagesvc.meredithcorp.io/v3/mm/image?url=https:%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1917834.jpg
000081.jpg,https://i2.wp.com/snappygourmet.com/wp-content/uploads/2011/04/EASY-FRIED-ICE-CREAM-RECIPE-PIN-2018.jpg
000082.jpg,https://i.pinimg.com/originals/c9/8c/dd/c98cdd7582985361895c116afca0d03b.jpg
000083.jpg,https://i0.wp.com/angsarap.net/wp-content/uploads/2012/08/banana-cue.jpg
000084.jpg,http://images.summitmedia-digital.com/yummyph/images/2022/05/27/kfcstylefriedchickenrecipe2-small.jpg
000085.jpg,https://i0.wp.com/www.indianhealthyrecipes.com/wp-content/uploads/2013/03/aratikaya-vepudu-recipe-500x500.jpg
000086.jpg,https://img-global.cpcdn.com/recipes/8b6519df77f6d270/751x532cq70/vegetable-stir-fry-with-noodles-recipe-main-photo.jpg
000087.jpg,https://cdn.shopify.com/s/files/1/0077/6060/9395/products/fried-brick-tee-636332.jpg
000088.jpg,https://i0.wp.com/www.naturayum.com/wp-content/uploads/2022/05/Fried-plantain2-1.jpg
000089.jpg,https://i.pinimg.com/736x/c9/8c/dd/c98cdd7582985361895c116afca0d03b--pancake-paleo-paleo-breakfast.jpg
000090.jpg,https://i.pinimg.com/736x/77/05/34/770534d34fe3e1356cb10642540bdb0c--leek-soup-scallops.jpg
000091.jpg,https://squadbody.com/wp-content/uploads/2022/05/176650213_3902821183137391_6640999975618153989_n.jpg
000092.jpg,https://www.naturayum.com/wp-content/uploads/2022/05/Fried-plantain2-1.jpg
000093.jpg,https://takeoutfood.best/wp-content/uploads/recipe-for-banana-bread-with-raisins.jpg
000094.jpg,https://i0.wp.com/foodiebadge.com/wp-content/uploads/2022/05/stir-fry-tips-with-kenji-shorts.jpg
000095.jpg,https://thumbs.dreamstime.com/b/parippu-vada-vagliata-una-foglia-di-banana-modo-tradizionale-fritto-messo-esso-è-realtà-costituito-piselli-o-e-farina-195329150.jpg
000096.jpg,https://i.pinimg.com/736x/7c/26/4d/7c264d95862a5af5164e0eac2ff1bd68.jpg
000097.jpg,https://thumbs.dreamstime.com/b/parippu-vada-72819472.jpg
000098.jpg,https://cdn-cgnol.nitrocdn.com/MORCmwuiSGvBtkEavugmVVdjsSddvHyn/assets/static/optimized/wp-content/uploads/2018/12/af351115d9a8c2dbf5379ffbb33a91e3.small-banana-chips-processing-line.jpg
000099.jpg,https://cosmonerd.com.br/uploads/2020/08/20200615-bananafish2-1200x675-1.jpg
000100.jpg,https://www.gettyrecipes.com/wp-content/uploads/img-global.cpcdn_.com/recipes/550fb472ddc0f1d6/751x532cq70/banana-orange-bread-recipe-main-photo.jpg
000101.jpg,https://imagegod.b-cdn.net/wp-content/uploads/2022/05/1653498645_883_Banana-Pancake-Pops-Recipe.jpg
